field_1,kraftwerksnummer_bundesnetzagentur,unternehmen,kraftwerksname,plz_standort_kraftwerk,ort_standort_kraftwerk,stra_e_und_hausnummer_standort_kraftwerk,bundesland,blockname,aufnahme_der_kommerziellen_stromerzeugung_der_derzeit_in_betrie,kraftwerksstatus_in_betrieb_vorlaufig_stillgelegt_saisonale_k,energietrager,spezifizierung_mehrere_energietrager_und_sonstige_energietrag,spezifizierung_mehrere_energietrager___zusatz__ersatzbrennst,auswertungenergietrager_zuordnung_zu_einem_hauptenergietrage,vergutungsfahig_nach_eeg_ja_nein,warmeauskopplung_kwk_ja_nein,netto_nennleistung_elektrische_wirkleistung_in_mw,bezeichnung_verknupfungspunkt_schaltanlage_mit_dem_stromnetz,netz__oder_umspannebene_des_anschlusses_in_kv,name_stromnetzbetreiber,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,BNA1320,Theolia Naturenergien GmbH,Windpark Mühlanger,6888,Mühlanger,,Sachsen-Anhalt,,2007,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,14,UW Wittenberg,15,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E61000000000000000802940CDCCCCCCCCEC4940,1267,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1331,Reno De Medici Arnsberg GmbH,Reno De Medici,59821,Arnsberg,Hellefelderstr. 51,Nordrhein-Westfalen,HD - Kraftwerk,1923 / 1956,in Betrieb,Steinkohle,,,Steinkohle,nein,ja,19,DE00018144139V0000000000000592849                      ,30 auf 6,Westnetz GmbH,0101000020E6100000268DD13AAA2A2040B0C91AF510B14940,1279,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1003,Schluchseewerk Aktiengesellschaft,Kraftwerk Waldshut,79761,Waldshut-Tiengen,Kraftwerkstraße 13,Baden-Württemberg,Waldshut,1951,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,150,Gurtweil,110,Netze BW GmbH,0101000020E61000003A58FFE7306F20406BF12900C6CF4740,957,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0237,EnBW Propower GmbH,EBS-Heizkraftwerk,15890,Eisenhüttenstadt,,Brandenburg,,2011,in Betrieb,Mehrere Energieträger,EBS / Abfall,"aufbereiteter Haushalts- und Gewerbemüll, Klärschlamm, Rejekte, Steinkohle, Heizöl",Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,23.5,Umspannwerk Eisenhüttenstadt ,110,E.DIS AG,0101000020E6100000CDCCCCCCCC4C2D403333333333134A40,225,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0238a,Arcelor Mittal Eisenhüttenstadt GmbH,IKW,15890,Eisenhüttenstadt,Werkstraße 1,Brandenburg,,1953,in Betrieb,Mehrere Energieträger,"Gichtgas, Konvertergas",Erdgas (falls nicht genügend Gicht- bzw. Konvertergas zur Verfügung steht),Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,45,UW Eisenhüttenstadt Pohlitz,110,E.DIS AG,0101000020E6100000CDCCCCCCCC4C2D403333333333134A40,226,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0238b,Arcelor Mittal Eisenhüttenstadt GmbH,IKW,15890,Eisenhüttenstadt,Werkstraße 1,Brandenburg,Block 7,2013,in Betrieb,Mehrere Energieträger,"Gichtgas, Konvertergas",Erdgas (als Ersatz),Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,56,,30,E.DIS AG,0101000020E6100000CDCCCCCCCC4C2D403333333333134A40,227,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0933,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Stuttgart-Gaisburg,70376,Stuttgart,Langwiesenweg 23,Baden-Württemberg,GAI GT 13,1973,Endgültig Stillgelegt 2014,Erdgas,,,Erdgas,Nein,Nein,55,Gaisburg,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,1796,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0934,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Stuttgart-Gaisburg,70376,Stuttgart,Langwiesenweg 23,Baden-Württemberg,GAI DT 14 neu,2009,in Betrieb,Mehrere Energieträger,Steinkohle,"Erdgas, Heizöl",Steinkohle,Nein,Ja,22.6,Gaisburg,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,887,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0935,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN DT12,1982,in Betrieb,Mehrere Energieträger,Steinkohle,Abfall,Steinkohle,Nein,Ja,45,Münster,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,888,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0936,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN DT15,1984,in Betrieb,Mehrere Energieträger,Steinkohle,Abfall,Steinkohle,Nein,Ja,45,Münster,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,889,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0937,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN GT16,1974,in Betrieb,Mineralölprodukte,,,Mineralölprodukte,Nein,Nein,23.3,Münster,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,890,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0938,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN GT17,1974,in Betrieb,Mineralölprodukte,,,Mineralölprodukte,Nein,Nein,23.3,Münster,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,891,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0939a,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN DT19 neu,2009,in Betrieb,Mehrere Energieträger,Abfall (2/3),Steinkohle (1/3),Abfall,Nein,Ja,19.5,,,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,892,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0939b,EnBW Energie Baden-Württemberg AG,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN GT18,1974,in Betrieb,Mineralölprodukte,,,Mineralölprodukte,Nein,Nein,23.3,Münster,110,Netze BW GmbH,0101000020E6100000D1798D5DA25A2240DC80CF0F23644840,893,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0846,SCE Wind Rositz GmbH & Co.KG,,4617,Rositz,,Thüringen,,2003,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,14.175,,MS,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E610000040D9942BBCBB2840E3FC4D2844844940,791,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0929,Rhein-Main-Donau AG,Straubing,94315,Straubing,Kagerser Hauptstraße 164,Bayern,Straubing,1994,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,21.5,Schaltanlage vor Ort,20,Bayernwerk AG,0101000020E6100000849ECDAACF252940F0A2AF20CD704840,884,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1616,,Windpark Kastorf,23847,Kastorf,,Schleswig-Holstein,,2014,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,15.375,,HS,Schleswig-Holstein Netz AG,0101000020E6100000268DD13AAA2A25400000000000E04A40,1609,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0882,Vattenfall Europe Generation AG,Bleiloch,7907,Schleiz,Gräfenwarth,Thüringen,PSS A,1932,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,79.8,Remptendorf,110,TEN Thüringer Energienetze GmbH,0101000020E610000074D2FBC6D79E27406EC0E787114A4940,827,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0883,Vattenfall Europe Generation AG,Bleiloch,7907,Schleiz,Gräfenwarth,Thüringen,PSS B,1932,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,,Remptendorf,110,TEN Thüringer Energienetze GmbH,0101000020E610000074D2FBC6D79E27406EC0E787114A4940,828,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,,EEG-Anlagen < 10 MW,,,,,Nordrhein-Westfalen,,,in Betrieb,Klärgas,,,Klärgas,Ja,,20.4763,,,,,1690,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0104,Bau- und Umwelttechnik Gesellschaft für ökologisches Investment mbH & Co.Windwelt KG,,1877,Bischofswerda,,Sachsen,,2003,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,20,,HS,ENSO Netz GmbH,0101000020E6100000EB909BE1065C2C40A3AF20CD58904940,95,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0576,ENERGIEKONTOR Windkraft GmbH & Co.,,27607,Langen,,Niedersachsen,,1999,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,25,,HS/MS,EWE NETZ GmbH,0101000020E6100000715AF0A2AF302140BD35B05582CD4A40,535,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0577,Energiekontor Windkraft GmbH & Co. WP KRE KG,,27607,Langen,,Niedersachsen,,2000,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,20.8,,HS/MS,EWE NETZ GmbH,0101000020E6100000715AF0A2AF302140BD35B05582CD4A40,536,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0578,Energiekontor Umwelt GmbH & Co.,,27607,Langen,,Niedersachsen,,1999,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,11,,HS/MS,EWE NETZ GmbH,0101000020E6100000715AF0A2AF302140BD35B05582CD4A40,537,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0579,Energiekontor Windkraft GmbH & Co. WP SIE-Gem. d. Eigentümer,,27607,Langen,,Niedersachsen,,2000,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,11,,MS,EWE NETZ GmbH,0101000020E6100000715AF0A2AF302140BD35B05582CD4A40,538,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0580,,,27607,Langen,,Niedersachsen,,2001,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,10.5,,HS/MS,EWE NETZ GmbH,0101000020E6100000715AF0A2AF302140BD35B05582CD4A40,539,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0333,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,D,1970,Endgültig Stillgelegt 2014,Steinkohle,,,Steinkohle,Nein,Ja,345,Scholven,220,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,1776,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0334,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,E,1971,Endgültig Stillgelegt 2014,Steinkohle,,,Steinkohle,Nein,Ja,345,Scholven,220,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,1777,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0335,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,F,1979,Endgültig Stillgelegt 2014,Steinkohle,,,Steinkohle,Nein,Nein,676,Scholven,380,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,1778,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0336,E.ON Kraftwerke GmbH,FWK Buer,45896,Gelsenkirchen,,Nordrhein-Westfalen,,1985,in Betrieb,Steinkohle,,,Steinkohle,Nein,Ja,70,Scholven,35,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,315,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0331,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,C,1969,in Betrieb,Steinkohle,,,Steinkohle,Nein,Ja,345,Scholven,220,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,313,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0332,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,B,1968,in Betrieb,Steinkohle,,,Steinkohle,Nein,Ja,345,Scholven,220,Amprion GmbH,0101000020E6100000E8DEC325C77D1C40295C8FC2F5C04940,314,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0407,Enertec Hameln GmbH,Enertec Hameln,31789,Hameln,,Niedersachsen,"Linien 1,3,4",1912,in Betrieb,Abfall,einschließlich biologisch abbaubarer Anteile in Abfällen aus Haushalten und Industrie.,,Abfall,Nein,ja,14.7,UW Afferde,110,Westfalen Weser Netz AG,0101000020E61000004AB54FC763B62240EFE192E34E0D4A40,380,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0408,Enertec Hameln GmbH,Enertec Hameln,31789,Hameln,,Niedersachsen,Block 7,2002,in Betrieb,Biomasse,Altholz,,Biomasse,Ja,Nein,16.8,UW Afferde,30,Westfalen Weser Netz AG,0101000020E61000004AB54FC763B62240EFE192E34E0D4A40,381,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0863,Salzgitter Flachstahl GmbH,Kraftwerk Salzgitter,38239,Salzgitter,,Niedersachsen,AB,1939,in Betrieb,Sonstige Energieträger,Kuppelprodukte der Stahlerzeugung,,Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,94.5,Werknetz,Werknetz,Werknetz,0101000020E6100000282CF180B2A92440C156091687134A40,808,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0864,Salzgitter Flachstahl GmbH,Kraftwerk Salzgitter,38239,Salzgitter,,Niedersachsen,Block 1,2010,in Betrieb,Sonstige Energieträger,Kuppelprodukte der Stahlerzeugung,,Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,97,Werknetz,Werknetz,Werknetz,0101000020E6100000282CF180B2A92440C156091687134A40,809,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0865b,Salzgitter Flachstahl GmbH,Kraftwerk Salzgitter,38239,Salzgitter,,Niedersachsen,Block 2,2010,in Betrieb,Sonstige Energieträger,Kuppelprodukte der Stahlerzeugung,,Sonstige Energieträger(nicht erneuerbar) ,Nein,Ja,97,Werknetz,Werknetz,Werknetz,0101000020E6100000282CF180B2A92440C156091687134A40,810,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0867,RWE Innogy GmbH,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,38228,Salzgitter,,Niedersachsen,Lesse 2,2009,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,21,UW Lebenstedt Nord,20,Avacon AG,0101000020E6100000282CF180B2A92440C156091687134A40,811,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0868,RWE Innogy GmbH,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,38228,Salzgitter,,Niedersachsen,Lesse 1,2002,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,19.8,UW Lebenstedt Süd,20,Avacon AG,0101000020E6100000282CF180B2A92440C156091687134A40,812,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0961,Solarpark Tutow I GmbH,Tutow Solarpark 1 FF,17129,Tutow,,Mecklenburg-Vorpommern,,2009,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,6.782,,110,E.DIS AG,0101000020E6100000ACA8C1340C7F2A40B020CD5834F54A40,914,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0962a,Solarpark Tutow V GmbH & Co. KG,Tutow Solarpark 5,17129,Tutow,,Mecklenburg-Vorpommern,,2011,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,19.3,,110,E.DIS AG,0101000020E6100000ACA8C1340C7F2A40B020CD5834F54A40,915,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0962b,Solarpark Tutow II GmbH & Co. KG,Tutow Solarpark 2 FF Infrastruktur,17129,Tutow,,Mecklenburg-Vorpommern,,2010,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,25.5,,110,E.DIS AG,0101000020E6100000ACA8C1340C7F2A40B020CD5834F54A40,916,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1125,Merck KGaA,Heizkraftwerk,64293,Darmstadt ,Frankfurter Str. 250,Hessen,GT,1999,in Betrieb,Mehrere Energieträger,Erdgas,leichtes Heizöl,Erdgas,Nein,Ja,10,UA Nord,20,Verteilnetzbetreiber (VNB) Rhein-Main-Neckar GmbH & Co. KG,0101000020E6100000CD237F30F04C2140C173EFE192EF4840,1075,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,,EEG-Anlagen < 10 MW,,,,,Hessen,,,in Betrieb,Deponiegas,,,Deponiegas,Ja,,24.305,,,,,1671,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA1487,HEAG Südhessische Energie AG (HSE),GTKW Darmstadt,64293,Darmstadt,Frankfurter Str. 100,Hessen,,2013,in Betrieb,Erdgas,,,Erdgas,nein,Nein,94.6,UA Nord Darmstadt,110,Verteilnetzbetreiber (VNB) Rhein-Main-Neckar GmbH & Co. KG,0101000020E6100000CD237F30F04C2140C173EFE192EF4840,1458,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1442,MVV Energie AG,Windpark Holdenstedt-Bornstedt,6526,Sangerhausen,Handelsweg 901R,Sachsen-Anhalt,,2006,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,12,"Handelsweg 901R, 06526 Sangerhausen",20,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E61000002C0E677E359726400D6C956071BC4940,1407,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0971,ENERTRAG Aktiengesellschaft,UW Osterweddingen,39171,Osterweddingen,"Gemarkung Osterweddingen Flur 8, Flurstück 5/1",Sachsen-Anhalt,UW Osterweddingen,2005,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,75,UW Osterweddingen,110,Avacon AG,0101000020E610000042B28009DC2A2740A1DB4B1AA3054A40,925,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1187,Pfeifer & Langen Kommanditgesellschaft,P&L Werk Lage,32791,Lage,Heidensche Str. 70,Nordrhein-Westfalen,Kessel 1/2/3,1980,in Betrieb,Mehrere Energieträger,Erdgas,Schweröl,Erdgas,Nein,ja,10.2,,10,Westfalen Weser Netz AG,0101000020E61000004BCD1E6805962140170E846401FF4940,1137,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0789,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,E,1987,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,744,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0785,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,A,1981,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,740,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0786,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,B,1982,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,741,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0787,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,C,1984,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,742,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0788,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,D,1985,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,743,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0790,Vattenfall Europe Generation AG,KW Jänschwalde,3185,Peitz,Kraftwerksstraße,Brandenburg,F,1989,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,465,Preilack,380,50 Hertz Transmission GmbH,0101000020E6100000FB743C66A0D22C409947FE60E0ED4940,745,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0423,WP Schwanebeck u. Wulferstedt Infrastruktur GbR,Windparks Schwanebeck und Wulferstedt,38829,Harsleben,,Sachsen-Anhalt,,2003,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,30,UW Harsleben,HS,HSN Magdeburg GmbH,0101000020E610000033333333333326405036E50AEFEE4940,395,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0424,Windpark Wegeleben GmbH & Co. KG und Wind Am Speckberg GmbH,Windparks Gröningen und Wegeleben,38829,Harsleben,,Sachsen-Anhalt,,2006,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,28,Harsleben Süd,HS,HSN Magdeburg GmbH,0101000020E610000033333333333326405036E50AEFEE4940,396,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0088a,Solvay Chemicals GmbH,Dampfturbinenanlage der EBS-Kessel,6406,Bernburg,,Sachsen-Anhalt,,2010,in Betrieb,Abfall,,,Abfall,Nein,Ja,35,Umspannwerk Bernburg Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E6100000098A1F63EE7A2740F60B76C3B6E54940,81,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0088b,Solvay Chemicals GmbH,Industriekraftwerk Bernburg (IKB),6406,Bernburg,,Sachsen-Anhalt,,1994,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,66,Umspannwerk Bernburg Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E6100000098A1F63EE7A2740F60B76C3B6E54940,82,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1073,"WKN Windkraft Nord GmbH & Co. Windpark Wöhrden I KG; WKN Windkraft Nord GmbH & Co. Windpark Wöhrden II KG ",,25797,Wöhrden,,Schleswig-Holstein,,1998,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,14.34,,MS,Schleswig-Holstein Netz AG ,0101000020E61000000000000000002240B79C4B7155154B40,1024,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0378,E.ON Kraftwerke GmbH,Ingolstadt,85098,Großmehring,,Bayern,3,1973,Reservekraftwerk,Mineralölprodukte,,,Mineralölprodukte,Nein,Ja,386,Ingolstadt,220,TenneT TSO GmbH ,0101000020E61000008CF337A1101127408369183E22624840,351,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0379,E.ON Kraftwerke GmbH,Ingolstadt,85098,Großmehring,,Bayern,4,1974,Reservekraftwerk,Mineralölprodukte,,,Mineralölprodukte,Nein,Ja,386,Ingolstadt,220,TenneT TSO GmbH ,0101000020E61000008CF337A1101127408369183E22624840,352,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1000,Windpark Vollstedt ,,25821,Vollstedt,,Schleswig-Holstein,,1997,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,15.5,,MS,Schleswig-Holstein Netz AG ,0101000020E61000008CF337A1101122405036E50AEF4E4B40,954,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1293a,Martinswerk GmbH,Kraftwerk,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K1/TG1,1995,vorläufig stillgelegt,Braunkohle,,,Braunkohle,Nein,ja,10,Station Martinswerk,20,Westnetz GmbH,0101000020E61000000113B875378F1A400A117008557A4940,1237,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1293b,Martinswerk GmbH,Kraftwerk,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K2/TG2,1995,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,10,Station Martinswerk,20,Westnetz GmbH,0101000020E61000000113B875378F1A400A117008557A4940,1238,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1293c,Martinswerk GmbH,Kraftwerk,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K3+4/TG4,1995,vorläufig stillgelegt,Erdgas,,,Erdgas,Nein,Ja,3,Station Martinswerk,20,Westnetz GmbH,0101000020E61000000113B875378F1A400A117008557A4940,1239,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1293d,Martinswerk GmbH,Kraftwerk,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,Diesel/G5,1995,vorläufig stillgelegt,Mineralölprodukte,,,Mineralölprodukte,Nein,Nein,0.76,Station Martinswerk,20,Westnetz GmbH,0101000020E61000000113B875378F1A400A117008557A4940,1240,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
